CarPark,WeekDays_Rate_1,WeekDays_Rate_2,Saturday_Rate,Sunday_PublicHoliday_Rate,Address,Location
Hotel Fort Canning (Entrance 2),"(Public) $1.07/30min from 6am to 6pm, (Members) Free 1st 3hr, $1.07/30min subsequently from 6am to 6pm","(Public) $3.21/entry from 6pm to 6am the following day, (Members) Free parking from 6pm to 6am the following day","(Public) $1.07/30min from 6am to 6pm, $3.21/entry from 6pm to 6am the following day, (Members) Free 1st 3hr, $1.07/30min subsequently from 6am to 6pm, Free parking from 6pm to 6am","(Public) $1.07/30min from 6am to 6pm, $3.21/entry from 6pm to 6am the following day, (Members) Free 1st 3hr, $1.07/30min subsequently from 6am to 6pm, Free parking from 6pm to 6am","11 Canning Walk, S(178881)","1.2962473,103.8453569"
Hotel G Singapore,$1.00/30min from 7am to 5pm,$1.00/30min from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"200 Middle Road, S(188980)","1.3008771,103.8515427"
Hotel Grand Central,Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use,"22 Cavenagh Road, S(229617)","1.3012771,103.8417789"
Hotel Grand Pacific,$1.50/30min from 7am to 5pm,$4.00/entry from 5pm to 7am the following day,Charges same as weekdays,$4.00/entry from 7am to 7am the following day,"101 Victoria Street, S(188018)","1.2974097,103.8526076"
Hotel Indigo Singapore Katong,"$0.48 for 1st hr, $0.12/15min subsequently from 6am to 10am, $0.96 for 1st hr, $0.24/15min subsequently from 10am to 6pm","$1.00 for 1st hr, $0.25/15min subsequently from 6pm to 10pm, $0.32 for 1st hr, $0.08/15min subsequently from 10pm to 6am the following day","$0.54 for 1st hr, $0.16/15min subsequently from 6am to 10am, $1.28 for 1st hr, $0.65/15min subsequently from 10am to 9pm, $0.54 for 1st hr, $0.16/15min subsequently from 9pm to 6am","$0.54 for 1st hr, $0.16/15min subsequently from 6am to 10am, $1.28 for 1st hr, $0.65/15min subsequently from 10am to 9pm, $0.54 for 1st hr, $0.16/15min subsequently from 9pm to 6am","86 East Coast Road, S(428788)","1.3050948,103.9042942"
Hotel Jen at Tanglin,"$2.40 for 1st hr, $1.20 for next subsequent 30min from 7am to 5pm",$3.50/entry from 5pm to 7am the following day,"$2.40 for 1st hr, $1.20 for next subsequent 30min from 7am to 7am the following day",$3.50/entry from 7am to 7am the following day,"1A Cuscaden Road, S(249716)","1.3043552,103.8239455"
Hotel Michael,(Mon-Thurs) $6.00/entry from 12am to 11.59pm,(Mon-Thurs) $6.00/entry from 12am to 11.59pm,(Fri-Sat) $9.00/entry from 12am to 11.59pm,$9.00/entry from 12am to 11.59pm,"8 Sentosa Gateway, S(098269)","1.2569835,103.8202676"
Hotel Re!,Free Parking,Free Parking,Free Parking,Free Parking,175A Chin Swee Road S(169879),"1.2853906,103.8383822"
Hotel Rendezvous,$3.70/hr from 7am to 5pm,$3.70/hr from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"9 Bras Basah Road, S(189559)","1.2984927,103.8492521"
Hotel Royal Queens,$1.28/30min from 8am to 5pm,$3.21/entry 5pm to 8am the following day,Charges same as weekdays,$3.21/entry from 8am to 8am the following day,"12 Queen Street, S(188553)","1.2976311,103.8522423"
Hotel Windsor,Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use,"401 Macpherson Road, S(368125)","1.3316833,103.87933"
Hougang 1,"$1.34 for 1st hr, $0.81 for next subsequent 30min from 7am to 5pm","$1.34 for 1st hr, $0.81 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,"1 Hougang Street 91, S(538692)","1.3758021,103.8794307"
Hougang Green Shopping Mall,"$1.07 for 1st hr, $0.55 for next subsequent 30min from 7am to 4.59pm",$1.20/entry from 5pm to 6.59am the following day,Charges same as weekdays,"$2.15/entry from 7am to 12midnight, $1.20/entry from 12midnight to 6.59am the following day","21 Hougang Street 51, S(538719)","1.3792668,103.8878925"
Hougang Mall,"$1.28 for 1st hr, $0.85 for next subsequent 30min from 7am to 6pm",$2.14/entry from 6pm to 12midnight,"$1.39 for 1st hr, $1.07 for next subsequent 30min from 7am to 6pm, $2.14/entry from 6pm to 12midnight","$1.39 for 1st hr, $1.07 for next subsequent 30min from 7am to 6pm, $2.14/entry from 6pm to 12midnight","90 Hougang Avenue 10, S(538766)","1.372455,103.8938277"
Hougang Stadium / Sports Hall / ClubFITT Gym,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"100 Hougang Avenue 2, S(538856)","1.369468,103.886035"
Hua Song Museum,$5.00/entry from 9am to 7pm,Car Park closed after 7pm,Charges same as weekdays,Charges same as weekdays,"262 Pasir Panjang Road, S(118628)","1.2844534,103.7828687"
Hub Synergy,$2.60/hr from 7am to 6pm,$1.00/hr from 6pm to 12midnight,"$1.00/30min from 7am to 2pm, $1.00/hr from 2pm to 12midnight",$1.00/hr from 7am to 12midnight,"70 Anson Road, S(079905)","1.2739236,103.8444671"
Ibis Singapore On Bencoolen Hotel,$1.50/30min from 8am to 5pm,$1.50/30min from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,"170 Bencoolen Street, S(189657)","1.3011074,103.8525132"
IBM Place 1,*Not for public,*,*,*,"9 Changi Business Park Central 1, S(486048)","1.3363799,103.965487"
IBM Place 2,$0.50/30min from 7am to 10pm,Car Park closed after 10pm,Charges same as weekdays,Carpark closed,"9 Changi Business Park Central 1, S(486048)","1.3363799,103.965487"
IBM Singapore Technology Park,$0.025/min from 7am to 7pm,$2.50/entry from 7.01pm to 6.59pm the following day,Charges same as Weekdays,Free Parking from 7am to 6.59am the following day,"6 Tampines Industrial Avenue 5, S(528760)","1.373163,103.929232"
Icon Village,$1.61/30min from 7am to 5pm,$3.21/entry from 5pm to 7am the following day,"$1.61/30min from 7am to 1pm, $3.21/entry from 1pm to 7am the following day",$3.21/entry from 7am to 7am the following day,"12 Gopeng Street, S(078877)","1.2753013,103.8443917"
IKEA Alexandra,$1.50/30min from 8am to 5pm,$1.50/30min from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,"317 Alexandra Road, S(159965)","1.2879816,103.8059954"
IKEA Tampines,Free Parking from 7am to 11pm,Free Parking from 7am to 11pm,Free Parking from 7am to 11pm,Free Parking from 7am to 11pm,"60 Tampines North Drive 2, S(528764)","1.3742041,103.9323448"
IMM Building,"1st 1hr free, $1.07 for 2rd hr, $0.30/15min subsequently from 12midnight to 5pm","1st 1hr free, $1.07 for 2rd hr, $0.30/15min subsequently from 5pm to 12midnight","$1.07 for 1st 2hr, $1.07 for 3rd hr, $0.30/15min subsequently from 12midnight to 12midnight","$1.07 for 1st 2hr, $1.07 for 3rd hr, $0.30/15min subsequently from 12midnight to 12midnight","2 Jurong East Street 21, S(609601)","1.3348154,103.7468395"
Income@Raffles,$3.20/30min from 2am to 6.30pm,$3.70/entry from 6.30pm to 2am the following day,"$3.20/30min from 2am to 2pm, 3.70/entry from 2pm to 2am the following day","$3.20/30min from 2am to 6.29am, 3.70/entry from 6.30am to 2am the following day","16 Collyer Quay, S(049318)","1.284184,103.852536"
Inno Centre,$0.60/30min from 7am to 10pm,$2.00/entry from 10.01pm to 6.59am the following day,Charges same as weekdays,$2.00/entry from 12midnight to 11.59pm,"1003 Bukit Merah Central, S(159836)","1.2833289,103.8144714"
Institute Of Mental Health (IMH),Free Parking,Free Parking,Free Parking,Free Parking,"10 Buangkok View, S(539747)","1.3819603,103.8846758"
Inter-continental Singapore Hotel,"$1.60 for 1st hr, $0.40 for next subsequent 10min from 8am to 5pm, $2.50/entry from 5pm to 8am the following day from Mon to Thurs","$1.60 for 1st hr, $0.40 for next subsequent 10min from 8am to 5pm, $2.70 for 1st 2hr, $0.27 for next subsequent 10min from 5pm to 8am the following day on Fri","$2.70 for 1st 2hr, $0.27 for next subsequent 10min from 8am to 8am the following day","$2.70 for 1st 2hr, $0.27 for next subsequent 10min from 8am to 8am the following day","80 Middle Road,S(88966)","1.2994346,103.855666"
InterContinental Robertson Quay,"$3.50 for 1st hr, $2.00 for next subsequent hr from 7am to 6pm","$5.00/entry from 6pm to 10pm, $2.00 for next subsequent 30min from 10pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,"1 Nanson Road, S(238909)","1.2902512,103.8386992"
International Building,"$3.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 6pm",$4.00/entry from 6pm to 7am the following day,"$3.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 6pm, $4.00/entry from 6pm to 7am the following day","$3.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 6pm, $4.00/entry from 6pm to 7am the following day","360 Orchard Road, S(238869)","1.3061653,103.8310002"
International Passenger Terminal (IPT),"$2.04/hr from 1am to 7am, $1.40 for 1st hr $0.70 for subsequent 30min from 7am to 6pm",$2.60/entry from 6pm to 1am the following day,Charges same as weekdays,Charges same as weekdays,"1 Maritime Square, S(099253)","1.2642175,103.8203582"
International Plaza,$2.20/30min from 7am to 4.59pm,$3.00/entry from 5pm to 6.59am the following day,"$2.20/30min from 7am to 2.59pm, $3.00/entry after 3pm to 6.59am the following day",$3.00/entry from 7am to 6.59am the following day,"10 Anson Road, S(079903)","1.2756998,103.8458098"
Ion Orchard,"(Mon-Thur) $2.67 for 1st hr, $1.28 for next subsequent 30min from 8am to 4.59pm","(Mon-Thur) $3/entry from 5pm to 11.59pm, $1.07/hr from 12midnight to 7.59am the following day","(Fri-Sun) $2.56 for 1st hr, $1.88 for next subsequent 30min from 8am to 5.59pm, $3.74/entry from 6pm to 11.59pm, $1.07/hr from 12midnight to 7.59am the following day","(Fri-Sun) $2.56 for 1st hr, $1.88 for next subsequent 30min from 8am to 5.59pm, $3.74/entry from 6pm to 11.59pm, $1.07/hr from 12midnight to 7.59am the following day","2 Orchard Turn, S(238801)","1.3039288,103.8319512"
ITE Headquarters & ITE College Central,$1.20/hr from 7am to 5pm,$1.20/hr from 5pm to 10.30pm,$1.20/hr from 7am to 10.30pm,Free parking from 7am to 10.30pm,"2 Ang Mo Kio Drive, S(567720)","1.3778796,103.8562274"
Jackson Square,$0.50/30min from 8am to 5pm,$0.50/30min from 5pm to 8am the following day,Charges same as weekdays,$1.00/entry from 8am to 8am the following day,"11 Lorong 3 Toa Payoh, S(319579)","1.3378372,103.8484497"
Jalan Besar Sports Centre,$0.60/30min from 7am to 5pm,$0.60/30min from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"100 Tyrwhitt Road, S(207542)","1.3096973,103.8601235"
Japanese Garden,Limited Free Parking Lots,Limited Free Parking Lots,Limited Free Parking Lots,Limited Free Parking Lots,"1 Chinese Garden Road, S(619795)","1.3363096,103.7308627"
JCube,"$1.30 for 1st hr, $0.40 for next subsequent 15min from 3.30am to 5.59pm",$2.50/entry from 6pm to 3.29am the following day,Charges same as weekdays,Charges same as weekdays,"2 Jurong East Central 1, S(609731)","1.3334283,103.7403199"
Jelita Cold Storage,"1st hr free, $2.00 for 2nd hr, $1.00 for next subsequent 30min","1st hr free, $2.00 for 2nd hr, $1.00 for next subsequent 30min",Charges same as weekdays,Charges same as weekdays,"293 Holland Road, S(278628)","1.3175779,103.7858566"
Jem,"$1.39 for 1st hr, $0.54 for next subsequent 15min from 6am to 5.59pm",$2.68/entry from 6pm to 5.59am the following day,Charges same as weekdays,Charges same as weekdays,"50 Jurong Gateway Road, S(608549) ","1.3337765,103.7436699"
Joo Chiat Complex,$0.50/30min from 7am to 7pm,$0.80/30min from 7pm to 10:30pm,Charges same as weekdays,Charges same as weekdays,"1 Joo Chiat Road, S(420001)","1.315681,103.8988707"
Joo Chiat Neighbourhood Centre,$0.60/30min from 7am to 5pm,$0.60/30min from 5pm to 7am the following day,"$0.80/30min from 7am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day","$0.80/30min from 7am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day","2 Joo Chiat Road, S(420002)","1.3155736,103.8988259"
Joo Seng Warehouse,$1.02/hr from 8am to 6pm,Car Park closed after 6pm,"$1.02/hr from 8am to 4pm, Car Park closed after 4pm",Closed,"1 Upper Aljunied Link, S(367901)","1.3353312,103.8813233"
JTC Aviation One @ Seletar Aerospace Park,$0.60/30min from 7am to 5pm,Free parking from 5pm to 7am the following day,Charges same as weekdays,Free parking from 7am to 7am the following day,"700 West Camp Road, S(797649)","1.4203155,103.8641543"
JTC Aviation Two @ Seletar Aerospace Park,$0.60/30min from 7am to 5pm,Free parking from 5pm to 7am the following day,Charges same as weekdays,Free parking from 7am to 7am the following day,"690 West Camp Road, S(797523)","1.419983,103.8635817"
JTC BioMed One @ Tuas Biomedical Park,$0.60/30min from 7am to 7pm,Free parking from 7pm to 7am the following day,Charges same as weekdays,Free parking from 7am to 7am the following day,"128 Tuas South Avenue 3, S(637550)","1.2888927,103.6267754"
JTC Blk 3014A / 3015A Ubi Road 1,$0.60/30min from 7am to 10pm,$2.00/entry from 10.01pm to 6.59am the following day,Charges same as weekdays,$2.00/entry from 7am to 6.59am the following day,"3014A Ubi Road 1, S(408703)","1.3294465,103.8936328"
JTC Blk 8 / 12 Lorong Bakar Batu,$0.50/30min from 7am to 11pm,$0.50/30min from 7am to 11pm,Charges same as weekdays,Closed,"8 Lorong Bakar Batu, S(348743)","1.3276243,103.8722661"
JTC Blk 8 Chia Ping Road,$0.50/30min from 7.30am to 7.30pm,$0.50/30min from 7.30am to 7.30pm,Charges same as weekdays,Closed,"8 Chia Ping Road, S(619973)","1.3302466,103.7205"
JTC Blk 970 / 998 Toa Payoh North,$0.60/30min from 7am to 10pm,$2.00/entry from 10pm to 6.59am the following day,Charges same as weekdays,$2.00/entry from 7am to 6.59am the following day,"970 Toa Payoh North, S(318992)","1.3427522,103.8511544"
JTC CleanTech Two @ CleanTech Park,$0.60/30min from 7am to 5pm,Free parking from 5pm to 7am the following day,Charges same as weekdays,Free parking from 7am to 7am the following day,"3 CleanTech Loop, S(637143)","1.3552657,103.6935015"
JTC MedTech Hub @ MedTech Park,$0.60/30min from 7am to 7pm,Free parking from 7pm to 7am the following day,Charges same as weekdays,Free parking from 7am to 7am the following day,"2 Tukang Innovation Grove, S(619624)","1.3253545,103.7104995"
JTC Tuas Amenity Centre,$0.50/30min from 7am to 10.30pm,$0.50/30min from 7am to 10.30pm,Charges same as weekdays,Closed,"71 Pioneer Road, S(639591)","1.316869,103.651887"
Junction 10,"$1.07 for 1st hr, $0.32 for next subsequent 15min from 8am to 5pm","$1.07 for 1st hr, $0.32 for next subsequent 15min from 5pm to 8am the following day","$2.14 for 1st 2hr, $0.32 for next subsequent 15min from 8am to 8am the following day","$2.14 for 1st 2hr, $0.32 for next subsequent 15min from 8am to 8am the following day","1 Woodlands Road, S(677899)","1.3805117,103.7603371"
Junction 8 (Basement Car Park),"$1.28 for 1st hr, $0.43 for next subsequent 15min from 12midnight to 5.59pm the following day from Mon to Fri & Eve of PH","$2.57/entry from 6pm to 11.59pm from Mon to Thurs, $2.57/entry from 6pm to 2.59am the following day on Fri & Eve of PH","$2.57 for 1st 2hr, $0.43 for next subsequent 15min from 3am to 5.59pm, $2.57/entry from 6pm to 2.59am the following day","$2.57 for 1st 2hr, $0.43 for next subsequent 15min from 3am to 5.59pm, $2.57/entry from 6pm to 11.59pm,  $0.43 for next subsequent 15min from 12midnight to 2.59am","9 Bishan Place, S(579837)","1.3505255,103.8485901"
Junction 8 (Multi-Storey Car Park),$0.60/30min from 7am to 9pm,$0.60/30min from 9pm to 7am the following day,"$0.60/30min from 7am to 3pm, $0.60/30min from 3pm to 7am the following day",$0.60/30min from 7am to 7am the following day,"514 Bishan Street 13, S(570514)","1.3504332,103.8498759"
Junction Nine,"$1.20 for 1st hr, $0.80 for next subsequent 30min","$1.20 for 1st hr, $0.80 for next subsequent 30min",Charges same as weekdays,Charges same as weekdays,18 Yishun Avenue 9,"1.433182,103.841643"
Jurong Bird Park,$0.60/30min from 7am to 7pm,Free parking from 7pm to 7am the following day,Charges same as weekdays,Free parking,"2 Jurong Hill, S(628925)","1.32108,103.705209"
Jurong Crocodile & Reptile Paradise,"$2.00/entry from 8am to 6pm, Free parking from 6pm to 7.59am the following day","$2.00/entry from 8am to 6pm, Free parking from 6pm to 7.59am the following day",Charges same as weekdays,Charges same as weekdays,"241 Jalan Ahmad Ibrahim, S(629143)","1.3209393,103.7089165"
Jurong East Sports and Cultural Centre / ClubFITT Gym,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"21 Jurong East Street 31, S(609517)","1.3465278,103.7296407"
Jurong East Stadium,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"21 Jurong East Street 31, S(609517)","1.3465278,103.7296407"
Jurong Industrial Estate (Jurong Port Workshops),$0.60/30min from 7am to 7pm,"$0.60/30min from 7pm to 7am the following day, capped at $4.00",Charges same as weekdays,Charges same as weekdays,"27A Jurong Port Road, S(619101)","1.316225,103.7205452"
Jurong Industrial Estate (Penjuru Workshops),$0.60/30min from 7am to 7pm,"$0.60/30min from 7pm to 7am the following day, capped at $4.00",Charges same as weekdays,Charges same as weekdays,"28F Penjuru Close, S(609134)","1.313079,103.731731"
Jurong Lake Gardens,$0.60/30min from 8.30am to 12pm,$0.60/30min from 2pm to 6.30am the following day,$0.60/30min from 8.30am to 6.30am the following day,$0.60/30min from 8.30am to 6.30am the following day,"104 Yuan Ching Road, S(618665)","1.3368211,103.7251038"
Jurong Medical Centre,"$2.15 for 1st hr, $1.07 for next subsequent 30min from 8am to 5pm","$2.15 for 1st hr, $1.07 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,"60 Jurong West Central 3, S(648346)","1.3404456,103.704392"
